danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
0.599,0.8160000000000001,0.055600000000000004,0.0911,2.17e-06,0.0961,0.399
0.767,0.597,0.0912,0.47400000000000003,6.28e-06,0.792,0.764
0.732,0.608,0.0883,0.0158,3.51e-05,0.317,0.661
0.588,0.39,0.057800000000000004,0.726,1.2600000000000001e-05,0.0965,0.20600000000000002
0.73,0.8220000000000001,0.0502,0.0785,0.0,0.0858,0.783
0.685,0.886,0.034,0.028,0.0,0.481,0.615
0.7000000000000001,0.613,0.0408,0.385,0.0,0.0887,0.42
0.738,0.89,0.0748,0.08950000000000001,1.8900000000000001e-06,0.213,0.75
0.654,0.63,0.025900000000000003,0.149,0.0,0.111,0.43
0.6950000000000001,0.74,0.0371,0.0155,0.0,0.14300000000000002,0.455
0.803,0.743,0.0994,0.007680000000000001,2.36e-06,0.107,0.645
0.527,0.41500000000000004,0.0303,0.264,0.0,0.093,0.341
0.61,0.802,0.033800000000000004,0.027600000000000003,0.0,0.116,0.787
0.896,0.459,0.051500000000000004,0.0737,8.410000000000001e-05,0.0981,0.484
0.767,0.493,0.17500000000000002,0.0999,1.29e-06,0.113,0.55
0.803,0.519,0.0359,0.085,7.76e-05,0.306,0.644
0.741,0.932,0.377,0.014,0.0,0.294,0.788
0.775,0.558,0.0436,0.116,0.0,0.138,0.762
0.641,0.788,0.0438,0.108,0.0,0.224,0.6910000000000001
0.782,0.669,0.213,0.0733,0.0,0.111,0.598
0.547,0.453,0.0358,0.189,0.0329,0.11900000000000001,0.41200000000000003
0.58,0.687,0.269,0.343,0.0,0.0941,0.657
0.513,0.503,0.0253,0.364,0.00058,0.0719,0.309
0.678,0.527,0.301,0.30000000000000004,0.0,0.11900000000000001,0.583
0.874,0.562,0.10300000000000001,0.0273,0.0,0.151,0.637
0.53,0.712,0.0461,0.44,0.0233,0.0931,0.577
0.467,0.543,0.0383,0.502,0.0,0.147,0.133
0.885,0.678,0.359,0.044,0.0,0.08990000000000001,0.755
0.656,0.534,0.0398,0.0164,0.000101,0.132,0.166
0.5700000000000001,0.665,0.291,0.06620000000000001,0.0,0.0584,0.48
0.388,0.438,0.137,0.624,0.0015500000000000002,0.113,0.052700000000000004
0.904,0.733,0.301,0.0951,0.0,0.136,0.519
0.6000000000000001,0.619,0.031900000000000005,0.0233,0.0,0.121,0.334
0.631,0.418,0.0482,0.462,0.0,0.0761,0.491
0.656,0.436,0.07440000000000001,0.845,0.0,0.221,0.196
0.715,0.731,0.27,0.054700000000000006,0.0,0.374,0.774
0.496,0.59,0.522,0.0726,0.0,0.177,0.449
0.793,0.481,0.124,0.019,1.09e-06,0.139,0.395
0.759,0.538,0.384,0.151,0.0,0.126,0.8310000000000001
0.731,0.484,0.0354,0.73,3.0099999999999996e-06,0.326,0.35000000000000003
0.5,0.91,0.0784,0.0183,0.0,0.11,0.28700000000000003
0.881,0.516,0.233,0.22,3.4700000000000002e-06,0.112,0.613
0.608,0.613,0.277,0.34800000000000003,0.0,0.187,0.7020000000000001
0.503,0.644,0.0594,0.198,0.0,0.0753,0.367
0.65,0.405,0.0329,0.222,0.0,0.0868,0.22
0.932,0.835,0.154,0.107,0.0,0.07690000000000001,0.925
